ID,ORDERID,PAYMENTMETHOD,STATUS,AMOUNT,CREATED,_BATCHED_AT
1,1,credit_card,success,1000,2018-01-01,2024-09-11 02:56:25.370 -0700
2,2,credit_card,success,2000,2018-01-02,2024-09-11 02:56:25.370 -0700
3,3,coupon,success,100,2018-01-04,2024-09-11 02:56:25.370 -0700
4,4,coupon,success,2500,2018-01-05,2024-09-11 02:56:25.370 -0700
5,5,bank_transfer,fail,1700,2018-01-05,2024-09-11 02:56:25.370 -0700
6,5,bank_transfer,success,1700,2018-01-05,2024-09-11 02:56:25.370 -0700
7,6,credit_card,success,600,2018-01-07,2024-09-11 02:56:25.370 -0700
8,7,credit_card,success,1600,2018-01-09,2024-09-11 02:56:25.370 -0700
9,8,credit_card,success,2300,2018-01-11,2024-09-11 02:56:25.370 -0700
10,9,gift_card,success,2300,2018-01-12,2024-09-11 02:56:25.370 -0700
11,9,bank_transfer,success,0,2018-01-12,2024-09-11 02:56:25.370 -0700
12,10,bank_transfer,success,2600,2018-01-14,2024-09-11 02:56:25.370 -0700
13,11,credit_card,success,2700,2018-01-14,2024-09-11 02:56:25.370 -0700
14,12,credit_card,success,100,2018-01-15,2024-09-11 02:56:25.370 -0700
15,13,credit_card,fail,500,2018-01-17,2024-09-11 02:56:25.370 -0700
16,13,bank_transfer,success,500,2018-01-17,2024-09-11 02:56:25.370 -0700
17,13,bank_transfer,success,1400,2018-01-17,2024-09-11 02:56:25.370 -0700
18,14,bank_transfer,success,300,2018-01-17,2024-09-11 02:56:25.370 -0700
19,15,coupon,success,2200,2018-01-17,2024-09-11 02:56:25.370 -0700
20,16,credit_card,success,1000,2018-01-18,2024-09-11 02:56:25.370 -0700
21,17,bank_transfer,success,200,2018-01-18,2024-09-11 02:56:25.370 -0700
22,18,credit_card,success,500,2018-01-20,2024-09-11 02:56:25.370 -0700
23,18,credit_card,success,800,2018-01-20,2024-09-11 02:56:25.370 -0700
24,19,gift_card,success,600,2018-01-22,2024-09-11 02:56:25.370 -0700
25,20,bank_transfer,success,1500,2018-01-23,2024-09-11 02:56:25.370 -0700
26,21,credit_card,success,1200,2018-01-23,2024-09-11 02:56:25.370 -0700
27,22,bank_transfer,success,800,2018-01-24,2024-09-11 02:56:25.370 -0700
28,23,gift_card,fail,2300,2018-01-26,2024-09-11 02:56:25.370 -0700
29,23,credit_card,success,2300,2018-01-26,2024-09-11 02:56:25.370 -0700
30,24,coupon,success,2600,2018-01-27,2024-09-11 02:56:25.370 -0700
31,25,bank_transfer,success,2000,2018-01-28,2024-09-11 02:56:25.370 -0700
32,25,credit_card,success,2200,2018-01-28,2024-09-11 02:56:25.370 -0700
33,25,coupon,success,1600,2018-01-28,2024-09-11 02:56:25.370 -0700
34,26,credit_card,success,3000,2018-01-28,2024-09-11 02:56:25.370 -0700
35,27,credit_card,success,2300,2018-01-29,2024-09-11 02:56:25.370 -0700
36,28,bank_transfer,success,1900,2018-01-29,2024-09-11 02:56:25.370 -0700
37,29,bank_transfer,success,1200,2018-01-31,2024-09-11 02:56:25.370 -0700
38,30,credit_card,success,1300,2018-02-02,2024-09-11 02:56:25.370 -0700
39,31,credit_card,success,1200,2018-02-02,2024-09-11 02:56:25.370 -0700
40,32,credit_card,success,300,2018-02-04,2024-09-11 02:56:25.370 -0700
41,33,credit_card,success,2200,2018-02-04,2024-09-11 02:56:25.370 -0700
42,34,bank_transfer,success,1500,2018-02-06,2024-09-11 02:56:25.370 -0700
43,35,credit_card,success,2900,2018-02-08,2024-09-11 02:56:25.370 -0700
44,36,bank_transfer,success,900,2018-02-10,2024-09-11 02:56:25.370 -0700
45,37,credit_card,success,2300,2018-02-10,2024-09-11 02:56:25.370 -0700
46,38,credit_card,fail,1500,2018-02-10,2024-09-11 02:56:25.370 -0700
47,38,credit_card,success,1500,2018-02-10,2024-09-11 02:56:25.370 -0700
48,39,bank_transfer,success,800,2018-02-11,2024-09-11 02:56:25.370 -0700
49,40,credit_card,success,1400,2018-02-13,2024-09-11 02:56:25.370 -0700
50,41,credit_card,success,1700,2018-02-14,2024-09-11 02:56:25.370 -0700
